SampleDate,Location,LocationName,CRCArea,Boat#/InterviewNumber,Anglers,ChinCaught,CohoCaught,OtherSpCode,SpeciesName,#OtherSpCaught,Rel Sps Code,#Rel
010994,1041,,7,WN5759MB,2,1,,,,,1,2
010994,1041,,81,WN7188V,1,,,,,,,
010994,1041,,82,WN3671ME,2,1,,,,,1,3
010994,1041,,81,WN8387,2,,,,,,,
010994,1041,,81,WN6604MD,2,,,,,,1,3
010394,1185,,6,WN3241S,1,1,,,,,,
010394,1186,,6,WN5655S,1,,,,,,,
010394,1186,,6,WN6889MB,2,1,,,,,1,1
010394,1186,,6,WN61CE,2,,,,,,,
010394,1186,,6,WN6188LK,2,,,,,,,
010494,1184,,6,WHALER,2,1,,,,,,
010594,1186,,6,WN8755MB,2,,,,,,,
010594,1186,,6,WN6402LG,1,,,,,,,
010694,1186,,6,WN7689MB,1,,,,,,,
010694,1186,,6,WN9513LA,1,,,,,,,
010694,1186,,6,WN6889MB,2,,,,,,,
010694,1186,,15,WN6889MB,2,,,,,,,
010694,1186,,6,WN8755MB,2,1,,,,,,
010694,1186,,6,WN665EA,1,,,,,,,
010694,1186,,6,WN1231QB,2,1,,,,,,
010694,1186,,6,WN1745G,2,,,,,,,
010794,1054,,6,WN8726MC,2,,,,,,,
010794,1186,,6,WN1231QB,2,,,,,,1,1
010794,1186,,6,WN4252KR,3,,,,,,,
010794,1186,,6,WN9729MB,3,,,,,,,
010794,1186,,6,WN4637MB,1,2,,,,,1,1
010894,1186,,15,WN5684MB,1,,,,,,,
010894,1186,,15,WN9795M,1,,,,,,,
010894,1186,,15,WN6889MB,2,,,,,,,
010894,1186,,15,WN6889MB,2,,,,,,,
010894,1186,,6,WN5655S,2,,,,,,,
010894,1186,,6,WN3052MC,2,,,,,,,
010894,1186,,6,WN079U,2,1,,,,,,
010894,1186,,6,WN6402LG,1,,,,,,,
010894,1186,,6,WN4792MB,1,1,,,,,,
010894,1186,,6,WN1436LD,1,,,,,,,
010894,1186,,6,WN7381U,2,,,,,,1,3
010894,1186,,6,WN1693LD,1,,,,,,,
010994,1138,,9,WN8318KD,2,,,,,,1,1
010994,1138,,9,WN4987JF,2,,,,,,1,2
010994,1138,,9,WN8781LD,2,2,,,,,,
010994,1138,,9,WN3203GB,2,1,,,,,1,1
010994,1138,,9,WN3203GB,2,,,,,,,
010994,1138,,9,WN7810KD,2,,,,,,,
010994,1138,,9,WN0875JS,1,1,,,,,,
010994,1138,,9,WN5228N,2,,,,,,,
010994,1138,,9,WN5228N,2,,,,,,,
010994,1138,,9,WN2885NA,1,,,,,,1,2
010994,1138,,9,WN1702LJ,2,4,,,,,,
010994,1138,,9,WN3919LH,2,,,,,,1,4
010994,1138,,9,WN034QB,2,,,,,,1,6
010994,1138,,9,WN7063LE,2,1,,,,,,
010994,1138,,9,WN429W,2,,,,,,,
010994,1138,,9,WN429W,2,,,,,,,
010594,1227,,10,WN6806K,1,,,,,,,
010694,1006,,10,WN3287JE,1,1,,,,,1,6
010694,1006,,10,WN3861LK,2,,,,,,1,2
010694,1006,,10,WN1990LE,2,1,,,,,1,3
010694,1006,,10,WN7439NC,2,1,,,,,1,15
010694,1006,,10,WN3445E,1,,,,,,1,4
010694,1006,,10,WN2014P,2,1,,,,,1,7
010694,1006,,10,WN2014P,2,,,,,,4,2
010694,1006,,10,WN8005N,3,,,,,,,
010694,1006,,10,WN975DF,4,,,,,,,
010694,1006,,10,WN975DF,4,,,,,,,
010694,1006,,10,WN975DF,4,,,,,,,
010694,1151,,9,WN5516NC,2,,,,,,,
010694,1151,,82,WN9122KS,1,,,,,,1,1
010694,1227,,10,WN4688L,1,,,,,,1,5
010694,1227,,10,WN4524LC,2,,,,,,1,3
010694,1227,,9,WN0107MC,2,,,,,,,
010694,1227,,10,WN2781MA,1,,,,,,4,2
010694,1227,,10,WN4621LH,2,3,,,,,1,4
010694,1227,,10,SILVER D,3,1,,,,,1,8
010694,1227,,10,WN2408L,1,,,,,,1,2
010694,1227,,10,WN3951V,1,1,,,,,1,4
010694,1227,,10,WN9308JC,2,,,,,,,
010694,1227,,10,WN2908LJ,1,,,,,,1,7
010694,1227,,10,WN1103LH,2,,4,,,,1,6
010694,1227,,10,WN6802RA,1,,,,,,,
010794,1006,,10,WN0683RC,2,,,,,,1,2
010794,1006,,10,WN8136J,1,,,,,,,
010794,1006,,10,WN0495MC,1,,,,,,1,1
010794,1006,,10,WN7228LA,2,1,,,,,1,2
010794,1006,,10,WN4380JE,2,,,,,,1,1
010894,1227,,10,WN6324RC,1,,,,,,1,2
010894,1227,,10,WN172DK,3,,,,,,1,2
010894,1227,,10,WN3857KD,2,1,,,,,1,10
010894,1227,,10,WN3548RC,2,2,,,,,1,10
010894,1227,,10,WN2272JE,2,,,,,,1,10
010894,1227,,10,WN3900KD,3,,,,,,1,10
010894,1227,,10,WN3425RB,3,,,,,,,
010894,1227,,10,WN311BK,2,,,,,,1,1
010894,1227,,10,WN1641KG,2,,,,,,4,3
010894,1227,,10,WN0101MC,2,,,,,,1,6
010894,1227,,10,WN4573RC,1,1,,,,,4,5
010894,1227,,10,WN442L,2,1,,,,,1,15
010894,1227,,10,WN4215JR,2,2,2,,,,1,15
010894,1227,,10,WN2827ME,3,1,,,,,1,6
010894,1227,,10,WN5968RC,2,,,,,,,
010894,1227,,10,WN1515JS,2,1,,,,,1,4
010894,1227,,9,WN1769RC,1,,,,,,1,4
010894,1227,,10,WN1769RC,1,,,,,,4,8
010894,1227,,10,WN2064KV,2,,,,,,1,1
010894,1227,,10,WN1447L,3,,,,,,,
010994,1055,,9,WN2735L,2,,,,,,1,2
010994,1055,,9,WN8599MA,2,1,,,,,1,2
010994,1055,,10,WN7994K,2,,,,,,1,8
010994,1055,,10,WN7994K,2,,,,,,4,2
010994,1055,,9,WN4649H,4,,,,,,,
010994,1055,,9,WN79DP,2,1,,,,,1,2
010994,1055,,9,WN922BH,2,,,,,,1,2
010994,1055,,9,WN7687JD,4,,,,,,,
010994,1055,,9,WN1766NC,1,,,,,,1,2
010994,1055,,9,WN1877JS,3,,,,,,,
010994,1055,,9,WN2657LB,2,1,,,,,1,4
010994,1055,,9,WN6232RA,3,,,,,,1,3
010994,1055,,10,WN6232RA,3,,,,,,1,1
010994,1055,,10,WN1225KT,2,2,1,,,,1,4
010994,1055,,9,WN210BV,2,,,,,,,
010994,1055,,10,WN8433MC,1,,,,,,1,1
010994,1055,,9,WN0249LH,1,1,,,,,,
010994,1055,,9,WN6249KF,3,,,,,,,
010994,1055,,9,UNKNOWN,2,,,,,,,
010994,1055,,9,WN7726T,2,,,,,,,
010994,1055,,9,WN2276NC,2,,,,,,,
010994,1227,,10,WN0463RC,1,,,,,,1,2
010994,1227,,10,UNKNOWN,1,1,,,,,1,7
010994,1227,,10,WN6297LD,2,,,,,,1,3
010994,1227,,10,WN2838GB,1,,,,,,1,2
010994,1227,,10,WN4203LL,2,1,,,,,,
010994,1227,,10,WN3000RB,2,,,,,,1,4
010994,1227,,10,WN5926MB,2,,1,,,,4,4
010994,1227,,10,WN5926MB,2,,,,,,1,4
010994,1227,,10,WN6324KC,2,1,,,,,1,3
010994,1227,,10,WN0584JS,2,,2,,,,1,10
010994,1227,,10,WN0584JS,2,,,,,,4,5
010994,1227,,10,WN8180LF,1,2,,,,,1,12
010994,1227,,10,WN2992LJ,2,,,,,,1,4
010994,1227,,9,WN4436CR,2,1,,,,,1,6
010994,1227,,9,WN4753R,3,,,,,,,
010994,1227,,10,WN4753R,3,,,,,,,
010994,1227,,10,WN3900KD,1,1,,,,,1,10
010994,1227,,9,WN9224MD,2,,,,,,1,1
010994,1227,,10,WN3857KD,2,2,,,,,1,8
010994,1227,,10,WN7825LB,2,,,,,,,
010994,1227,,10,UNKNOWN,2,2,,,,,1,15
010994,1227,,10,UNKNOWN,2,,,,,,4,2
010994,1227,,9,UNKNOWN,2,,,,,,1,10
010994,1227,,10,UNKNOWN,2,,,,,,4,1
010994,1227,,10,WN4444RB,1,,,,,,,
010994,1227,,10,WN694BJ,1,,,,,,4,2
010994,1227,,9,WN3585MA,3,2,,,,,,
010994,1227,,10,WN4462RB,1,,,,,,1,1
010994,1227,,10,WN5271RC,2,,,,,,1,4
010994,1227,,9,WN7046KW,2,1,,,,,,
010994,1227,,10,WN7046KW,2,,,,,,1,4
010994,1227,,10,WN8787ND,2,,,,,,1,15
010694,1093,,13,WN4757JH,1,,4,,,,4,2
010694,1093,,13,UNKNOWN,1,,,,,,4,3
010694,1093,,13,WN3362L,2,,,,,,1,2
010794,1086,,11,WN1326ME,2,,,,,,,
010794,1086,,11,WN1326ME,2,,,,,,,
010794,1086,,11,WN8745LA,1,,,,,,1,3
010794,1143,,12,WN9476JR,1,,,,,,,
010794,1174,,11,WN6708MC,1,,,,,,1,2
010794,1174,,11,WN6858MB,1,,,,,,,
010794,1174,,11,WN4569MA,1,,,,,,1,7
010794,1174,,11,WN4261MA,1,1,,,,,1,5
010794,1174,,11,WN0975ME,1,,,,,,1,3
010794,1174,,11,WN4578ME,2,,,,,,1,1
010794,1174,,11,WN1564N,1,,,,,,,
010794,1174,,11,WN0575LB,1,,,,,,1,4
010794,1174,,11,WN8311N,1,,,,,,,
010894,1149,,13,WN7970RA,2,,,,,,1,4
010894,1149,,13,WN7917RA,2,,,,,,1,6
010894,1149,,11,WN4609JS,2,,,,,,1,20
010894,1149,,13,WN5276MC,2,,,,,,,
010894,1149,,11,WN5016MB,2,,,,,,,
010894,1149,,11,WN3655Y,1,,,,,,,
010894,1149,,13,WN5856RC,1,,,,,,,
010894,1149,,13,WN2525ME,3,,,,,,,
010894,1149,,13,WN990GD,1,,,,,,,
010894,1149,,13,WN8066NC,2,,,,,,1,12
010894,1149,,11,WN2691MB,3,,,,,,,
010994,1093,,13,WN1595MD,1,,,,,,,
010994,1093,,13,1,1,,2,,,,,
010994,1093,,13,2,1,,,,,,,
010994,1093,,13,3,1,,,,,,,
010994,1093,,13,UNKNOWN,3,,7,,,,,
010994,1093,,13,UNKNOWN,1,,3,,,,4,1
010994,1093,,13,WN4384MA,2,,,,,,1,1
010994,1093,,13,WN0706MA,2,,8,,,,4,95
010994,1093,,13,WN62GA,2,,,,,,1,4
011594,1013,,7,WN1800LE,2,,,,,,,
011594,1013,,7,WN8192MB,2,1,,,,,,
011594,1013,,7,WN1589ME,3,1,,,,,,
011594,1013,,7,WN6449MB,2,,,,,,,
011594,1041,,81,WN115DV,1,,,,,,,
011594,1041,,7,WN4994JF,2,,,,,,,
011594,1041,,81,WN8280H,2,,,,,,,
011594,1041,,81,WN1177MB,2,,,,,,,
011694,1153,,81,WN4719IA,2,,,,,,1,1
011694,1153,,81,WN0798JF,3,,,,,,1,1
011694,1153,,81,WN6840MB,1,1,,,,,1,1
011694,1153,,81,WN9920JR,2,,,,,,1,3
011694,1153,,81,WN9588LG,2,,,,,,,
011694,1153,,81,WN5628X,2,,,,,,,
011694,1153,,81,WN2064MD,2,,,,,,1,4
011694,1153,,81,WN8265W,1,,,,,,1,4
011694,1153,,81,WN4243LJ,2,,,,,,1,12
011694,1153,,81,WN5764MB,1,1,,,,,,
011694,1153,,81,WN1779MC,3,,,,,,,
011694,1153,,81,WN1114N,2,1,,,,,1,12
011694,1153,,81,WN572U,1,,,,,,1,1
011694,1153,,81,WN3528ME,2,,,,,,,
011694,1153,,81,WN1803ME,3,,,,,,,
011694,1231,,7,WN25DG,1,,,,,,,
011694,1231,,7,WN955DT,1,1,,,,,,
011694,1231,,7,WN0279JD,2,,,,,,,
011694,1231,,7,WN8124MA,3,1,,,,,,
011694,1231,,7,WN7917MC,2,3,,,,,,
011694,1231,,7,WN2444W,2,1,,,,,,
011694,1231,,7,WN9505JE,2,1,,,,,,
011694,1231,,7,WN254BS,2,4,,,,,,
011694,1231,,7,WN4781NC,1,,,,,,,
011094,1186,,15,WN9795M,1,,,,,,,
011094,1186,,15,WN5684M,1,,,,,,,
011194,1186,,6,WN3143GC,2,,,,,,1,2
011194,1186,,6,WN404AM,2,2,,,,,,
011194,1186,,6,WN404AM,2,2,,,,,,
011194,1186,,6,WN404AM,2,,,,,,,
011194,1186,,6,WN2255MB,3,1,,,,,1,1
011194,1186,,6,WN190CT,1,,,,,,,
011194,1186,,6,WN618P,1,,,,,,,
011194,1186,,6,WN9143U,1,,,,,,1,2
011194,1186,,6,WN8755MB,2,,,,,,,
011394,1186,,6,WN8749GB,1,,,,,,,
011394,1186,,6,WN9513LA,2,,,,,,,
011394,1186,,6,WN4604ME,1,,,,,,,
011394,1186,,6,WN5655S,1,,,,,,,
011394,1186,,6,WN267DB,1,,,,,,,
011394,1186,,6,WN7641JB,2,2,,,,,1,1
011394,1186,,6,WN3796LH,2,,,,,,,
011394,1186,,6,WN7267GA,2,3,,,,,1,1
011394,1186,,6,WN4482W,1,,,,,,,
011394,1186,,6,WN6580,1,,,,,,,
011394,1186,,6,WN9143JF,1,,,,,,1,3
011394,1186,,6,AK5149L,2,,,,,,,
011494,1107,,6,WN6423LG,1,1,,,,,,
011494,1107,,6,WN1394LA,1,1,,,,,,
011494,1107,,6,WN742BE,1,,,,,,,
011494,1107,,6,WN6383Y,2,,,,,,,
011494,1186,,6,UNKNOWN,1,,,,,,,
011494,1186,,6,WN7870W,2,,,,,,,
011494,1186,,6,WN9143F,1,2,,,,,,
011494,1186,,6,WN6788X,2,,,,,,,
011494,1186,,6,WN8347RA,1,,,,,,,
011494,1186,,6,WN645DY,2,,,,,,,
011494,1186,,6,AK5149L,2,,,,,,,
011494,1186,,6,WN9656KS,2,2,,,,,1,1
011494,1186,,6,WN5337G,2,1,,,,,,
011494,1186,,6,WN5885E,2,,,,,,,
011494,1186,,6,WN1865LA,2,3,,,,,1,4
011594,1138,,9,WN0896NA,1,,,,,,,
011594,1138,,9,WN5968N,1,1,,,,,,
011594,1138,,9,WN7063LE,2,,,,,,,
011594,1138,,9,WN7882MD,2,1,,,,,1,6
011594,1138,,9,WN4659ME,4,1,,,,,,
011594,1138,,9,MN2436EE,2,,,,,,,
011594,1138,,9,WN6739M,3,1,,,,,,
011594,1138,,9,WN6621ND,2,,,,,,1,3
011694,1138,,9,WN258CX,2,,,,,,,
011694,1138,,9,WN7640N,2,,,,,,1,1
011694,1138,,9,WN4755LD,2,2,,,,,1,2
011694,1138,,9,WN7325GA,2,,,,,,,
011694,1138,,9,WN3186R,2,,,,,,,
011694,1138,,9,WN4004LA,2,1,,,,,,
011694,1138,,9,WN1021LF,1,,,,,,,
011694,1138,,9,WN5968N,2,4,,,,,1,5
011694,1138,,9,WN2630RA,2,,,,,,1,1
011694,1138,,9,WN7063LE,2,2,,,,,1,1
011694,1138,,9,WN590Y,2,,,,,,1,2
011694,1138,,9,UNKNOWN,2,,,,,,1,1
011394,1227,,10,WN6899KA,1,,,,,,,
011394,1227,,10,WN4688L,1,1,,,,,1,6
011394,1227,,10,WN0780LJ,1,,,,,,,
011394,1227,,9,WN0780LJ,1,,,,,,1,3
011394,1227,,10,WN4444RB,1,,,,,,1,12
011394,1227,,10,WN2408L,1,,,,,,1,2
011594,1151,,9,WN0510JD,1,2,,,,,,
011594,1151,,82,WN1344JD,2,,,,,,,
011594,1151,,9,WN542DM,2,,,,,,,
011594,1151,,9,WN0922NE,2,,,,,,,
011594,1151,,81,WN6057ND,2,,,,,,1,8
011594,1151,,82,WN7556TB,3,,,,,,1,12
011594,1151,,9,WN1675LJ,3,,,,,,1,1
011594,1151,,82,WN1675LJ,3,,,,,,,
011594,1151,,81,WN8133RA,2,,,,,,1,4
011594,1151,,82,WN3254JR,2,1,,,,,1,7
011594,1151,,82,WN1632KD,1,,,,,,1,1
011594,1151,,9,WN690AZ,3,,,,,,1,2
011594,1151,,82,WN690AZ,3,,,,,,,
011594,1151,,9,WN0484LJ,3,5,,,,,1,4
011594,1151,,81,WN1595RA,1,,,,,,,
011594,1151,,9,WN1752QB,2,,,,,,1,8
011594,1151,,82,WN7870LK,1,,,,,,1,2
011594,1151,,81,WN9299LB,2,,,,,,1,2
011594,1151,,9,WN1992LE,2,1,,,,,1,2
011594,1151,,81,WN9147J,2,,,,,,,
011594,1151,,82,WN0019NA,2,,,,,,1,5
011594,1151,,82,WN789NC,2,3,,,,,1,15
011594,1151,,81,WN4829RC,2,,,,,,1,2
011594,1151,,82,WN3608KX,1,,,,,,,
011594,1151,,82,WN1955NC,2,,,,,,,
011594,1151,,82,WN0428QA,5,,,,,,,
011594,1151,,82,WN0292RC,2,,,,,,,
011594,1151,,9,WN5224RC,2,1,,,,,1,1
011594,1151,,82,WY7653A,2,,,,,,,
011694,1006,,10,WN4157W,1,,,,,,,
011694,1006,,10,WN5641JE,3,,,,,,1,3
011694,1006,,10,WN5216C,2,,,,,,1,1
011694,1006,,10,WN2854LL,2,1,,,,,1,2
011694,1006,,10,WN9156V,2,,,,,,,
011694,1006,,10,WN6233KS,1,,,,,,,
011694,1006,,10,WN9817MB,3,1,,,,,1,2
011694,1006,,10,WN701BV,1,,,,,,,
011694,1006,,10,WN2285RA,2,2,,,,,1,1
011694,1006,,10,WN8154B,2,,2,,,,,
011694,1006,,10,WN1990LE,1,,,,,,1,2
011694,1006,,10,WN3943ME,1,,,,,,4,1
011694,1006,,10,WN662DB,2,,,,,,1,5
011694,1006,,10,WN9224MD,3,,,,,,1,6
011694,1006,,10,WN5721MB,2,,,,,,,
011694,1006,,10,WN5179RA,1,,,,,,1,10
011694,1006,,10,WN4735T,2,,,,,,1,2
011694,1006,,10,WN9619A,2,,,,,,1,2
011694,1006,,10,WN2827ME,6,,1,,,,1,15
011694,1006,,10,WN6874JR,1,,,,,,,
011694,1006,,10,WN1762RB,2,,,,,,1,5
011694,1006,,10,WN1762RB,2,,,,,,,
011694,1006,,10,WN2834MA,2,,,,,,1,3
011694,1006,,10,WN5647M,3,,,,,,1,10
011694,1006,,10,WN6780RA,1,1,,,,,1,12
011694,1006,,10,WN7023LA,2,,,,,,1,24
011694,1006,,10,WN7026LA,2,,,,,,1,2
011694,1006,,10,WN2130NA,2,,,,,,1,1
011694,1006,,10,WN2362V,2,,,,,,,
011694,1006,,10,WN6994LD,1,,,,,,1,2
011694,1006,,10,WN1523JB,5,,,,,,1,1
011694,1006,,10,WN4884MA,2,,,,,,1,10
011694,1006,,10,WN2325LI,3,,,,,,1,2
011694,1006,,10,WN6306N,2,,,,,,1,4
011694,1006,,10,WN9637W,1,,,,,,,
011694,1006,,10,WN6172RC,2,,,,,,1,2
011394,1093,,13,UNKNOWN,1,,4,,,,4,8
011394,1093,,13,WN3854MA,1,,2,,,,4,30
011394,1093,,13,WN1160RB,2,,,,,,,
011394,1093,,13,WN896CZ,2,,4,,,,4,60
011394,1093,,13,WN1595MD,1,,,,,,,
011394,1093,,13,WN4751LJ,2,,,,,,1,1
011594,1149,,11,WN3048ME,1,,,,,,,
011594,1149,,13,WN323CH,2,,,,,,1,2
011594,1149,,11,WN7917RA,2,,,,,,,
011594,1149,,13,WN7917RA,2,,,,,,,
011594,1149,,11,WN4149KD,2,,,,,,,
011594,1149,,11,WN9623LA,2,,,,,,1,2
011594,1149,,13,WN9623LA,2,,,,,,,
011594,1149,,11,WN7645L,2,,,,,,1,2
011594,1149,,13,WN2744GC,1,,,,,,1,2
011594,1149,,11,WN2744GC,1,,,,,,,
011594,1149,,10,WN4189MA,1,1,,,,,,
011594,1149,,11,WN134AY,3,,,,,,1,2
011594,1149,,10,WN7265GB,2,1,,,,,,
011594,1149,,10,WN4634MA,2,,,,,,1,10
011594,1149,,13,UNKNOWN,2,,,,,,,
011594,1149,,10,WN3655Y,1,,,,,,,
011594,1149,,11,WN4528Y,2,,,,,,1,1
011594,1174,,11,WN5266MB,3,,,,,,,
011594,1174,,11,WN3058L,2,,,,,,,
011594,1174,,11,UNKNOWN,1,,,,,,,
011594,1174,,11,WN1041YA,3,,,,,,,
011594,1174,,11,WN589N,2,,,,,,1,10
011594,1174,,11,WN0140LE,2,,,,,,,
011594,1174,,11,WN0129MD,3,,,,,,,
011594,1174,,11,WN7026MD,1,,,,,,1,6
011594,1174,,11,WN8303MC,4,,,,,,1,3
011594,1174,,11,WN8311N,1,,,,,,1,1
011594,1174,,11,UNKNOWN,3,,,,,,,
011594,1174,,11,WN5107RA,1,,,,,,,
011594,1174,,11,WN5257JS,3,,,,,,,
011594,1174,,11,WN1507R,3,,,,,,1,2
011594,1174,,11,WN3945ME,3,,,,,,4,1
011594,1174,,11,WN8764GC,2,,,,,,1,1
011594,1174,,11,WN615DM,2,,,,,,1,5
011594,1174,,11,WN6985LB,3,,,,,,1,1
011594,1174,,11,WN7395MD,1,,,,,,1,2
011594,1174,,11,WN9223MD,2,,,,,,,
011594,1174,,11,WN3687JC,2,,,,,,1,1
011594,1174,,11,WN5221C,2,,,,,,1,1
011594,1174,,11,WN2163JM,1,,,,,,,
011594,1174,,11,WN5670T,2,,,,,,,
011594,1174,,11,WN9262KW,2,,,,,,1,2
011594,1174,,11,WN5929RC,3,,,,,,1,7
011594,1174,,11,WN4684RC,3,,,,,,,
011594,1174,,11,WN1664BK,2,,,,,,1,2
011594,1174,,11,WN703CV,3,,,,,,,
011594,1174,,11,WN8664T,1,,,,,,1,2
